filename	condition_code	description	item_code	target_onset
local_sent_ruler.wav	1	local_switched_ruler	1090	735
local_sent_scarf.wav	1	local_switched_scarf	1091	450
local_sent_shoes.wav	1	local_switched_shoes	1092	450
local_sent_soccer.wav	1	local_switched_soccer	1093	455
local_sent_spider.wav	1	local_switched_spider	1094	675
local_sent_spoon.wav	1	local_switched_spoon	1095	502
local_sent_squirrel.wav	1	local_switched_squirrel	1096	587
local_sent_stairs.wav	1	local_switched_stairs	1097	550
local_sent_story.wav	1	local_switched_story	1098	440
local_sent_student.wav	1	local_switched_student	1099	427
local_sent_subway.wav	1	local_switched_subway	1100	520
local_sent_sun.wav	1	local_switched_sun	1101	568
local_sent_table.wav	1	local_switched_table	1102	503
local_sent_teacher.wav	1	local_switched_teacher	1103	480
local_sent_thing.wav	1	local_switched_thing	1104	490
local_sent_time.wav	1	local_switched_time	1105	565
local_sent_tomato.wav	1	local_switched_tomato	1106	510
local_sent_toothpaste.wav	1	local_switched_toothpaste	1107	525
local_sent_towel.wav	1	local_switched_towel	1108	648
local_sent_toy.wav	1	local_switched_toy	1109	390
local_sent_train.wav	1	local_switched_train	1110	490
local_sent_TV.wav	1	local_switched_TV	1111	540
local_sent_umbrella.wav	1	local_switched_umbrella	1112	700
local_sent_vegetables.wav	1	local_switched_vegetables	1113	660
local_sent_watch.wav	1	local_switched_watch	1114	462
local_sent_weekend.wav	1	local_switched_weekend	1115	560
local_sent_whiteboard.wav	1	local_switched_whiteboard	1116	528
local_sent_window.wav	1	local_switched_window	1117	557
local_sent_woman.wav	1	local_switched_woman	1118	520
local_sent_work.wav	1	local_switched_work	1119	540
local_sent_world.wav	1	local_switched_world	1120	467
local_sent_address_e.wav	2	local_noswitch_address	2001	680
local_sent_afternoon_e.wav	2	local_noswitch_afternoon	2002	590
local_sent_airport_e.wav	2	local_noswitch_airport	2003	630
local_sent_animal_e.wav	2	local_noswitch_animal	2004	810
local_sent_ants_e.wav	2	local_noswitch_ants	2005	800
local_sent_apple_e.wav	2	local_noswitch_apple	2006	620
local_sent_backpack_e.wav	2	local_noswitch_backpack	2007	500
local_sent_balcony_e.wav	2	local_noswitch_balcony	2008	800
local_sent_banana_e.wav	2	local_noswitch_banana	2009	570
local_sent_beverage_e.wav	2	local_noswitch_beverage	2010	727
local_sent_bookshelf_e.wav	2	local_noswitch_bookshelf	2011	554
local_sent_bookstore_e.wav	2	local_noswitch_bookstore	2012	596
local_sent_bottle_e.wav	2	local_noswitch_bottle	2013	625
local_sent_breakfast_e.wav	2	local_noswitch_breakfast	2014	715
local_sent_butter_e.wav	2	local_noswitch_butter	2015	730
local_sent_butterfly_e.wav	2	local_noswitch_butterfly	2016	505
local_sent_cake_e.wav	2	local_noswitch_cake	2017	440
local_sent_calendar_e.wav	2	local_noswitch_calendar	2018	670
local_sent_camera_e.wav	2	local_noswitch_camera	2019	900
local_sent_child_e.wav	2	local_noswitch_child	2020	520
local_sent_chili_e.wav	2	local_noswitch_chili	2021	615
local_sent_clothes_e.wav	2	local_noswitch_clothes	2022	676
local_sent_coat_e.wav	2	local_noswitch_coat	2023	763
local_sent_company_e.wav	2	local_noswitch_company	2024	530
local_sent_computer_e.wav	2	local_noswitch_computer	2025	540
local_sent_cookie_e.wav	2	local_noswitch_cookie	2026	535
local_sent_corn_e.wav	2	local_noswitch_corn	2027	673
local_sent_country_e.wav	2	local_noswitch_country	2028	794
local_sent_cucumber_e.wav	2	local_noswitch_cucumber	2029	545
local_sent_direction_e.wav	2	local_noswitch_direction	2030	580
local_sent_earphones_e.wav	2	local_noswitch_earphones	2031	909
local_sent_egg_e.wav	2	local_noswitch_egg	2032	548
